"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"arima";"gdp";"usa";"arima";"none";"none";0;1;"ro";21521400;21488915,9012475;1055216671,76402;0,151052593183052;-Inf
"arima";"gdp";"usa";"arima";"none";"none";0;2;"ro";21323000;22275256,0144332;453923366847,967;2,25968708989926;-45,1274233025461
"arima";"gdp";"usa";"arima";"none";"none";0;3;"ro";23594000;21470594,5774167;1805565774117,31;4,64773477246075;-0,71189211782411
"arima";"gdp";"usa";"arima";"none";"none";0;4;"ro";25744100;24041451,8757132;2078926989372,31;5,19578325302654;0,35402851684831
"arima";"gdp";"usa";"arima";"none";"none";0;5;"ro";27149488,929809;27087813,1877917;1663902370928,53;4,20211245043308;0,684227542327595
"arima";"gdp";"usa";"arima";"none";"none";0;1;"sa";21521400;21488915,9012475;1055216671,76402;0,151052593183052;-Inf
"arima";"gdp";"usa";"arima";"none";"none";0;2;"sa";21323000;22220882,8129027;403624381188,871;2,13754455242928;-40,0160702138145
"arima";"gdp";"usa";"arima";"none";"none";0;3;"sa";23594000;22952849,7245578;406107479359,103;2,34331637298567;0,614961579982243
"arima";"gdp";"usa";"arima";"none";"none";0;4;"sa";25744100;23684816,636213;1364742602611,79;3,84056283947982;0,575942393534651
"arima";"gdp";"usa";"arima";"none";"none";0;5;"sa";27149488,929809;24416783,5478682;2585329822987,08;5,19221208537312;0,509360665408016
"knn";"gdp";"usa";"knn";"diff";"none";6;1;"ro";21521400;21306749,2222222;46074956400,6042;1,00238175908101;-Inf
"knn";"gdp";"usa";"knn";"diff";"none";6;2;"ro";21323000;22170004,6666667;381745930877,859;2,44864121818271;-37,7927950700217
"knn";"gdp";"usa";"knn";"diff";"none";6;3;"ro";23594000;21751440,1111111;1386172935299,32;4,34135092566503;-0,314257589447326
"knn";"gdp";"usa";"knn";"diff";"none";6;4;"ro";25744100;24224622,6666667;1616832543102,93;4,77644162651982;0,497612123362032
"knn";"gdp";"usa";"knn";"diff";"none";6;5;"ro";27149488,929809;26430270,5555556;1396921048455,1;4,3580861886805;0,734894786886551
